Vernier Format 2
pol9.txt 3/8/2022 17:43:38
Run 1
Time	Potential	Current	
T	P	C	
s	V	A	

5.23	1.401	0.0001	
5.24	1.391	0.0001	
5.25	1.401	0.0001	
5.26	1.401	-0.0002	
5.27	1.391	-0.0002	
5.28	1.401	0.0001	
5.29	1.401	0.0001	
5.30	1.391	-0.0002	
5.31	1.406	0.0001	
5.32	1.396	0.0001	
5.33	1.396	0.0001	
5.34	1.411	0.0001	
5.35	1.396	0.0001	
5.36	1.401	0.0001	
5.37	1.401	0.0001	
5.38	1.396	0.0001	
5.39	1.401	-0.0002	
5.40	1.401	0.0001	
5.41	1.391	-0.0002	
5.42	1.406	0.0001	
5.43	1.396	0.0001	
5.44	1.396	0.0001	
5.45	1.406	0.0001	
5.46	1.396	0.0001	
5.47	1.406	0.0001	
5.48	1.396	0.0001	
5.49	1.396	0.0001	
5.50	1.406	0.0001	
5.51	1.401	0.0001	
5.52	1.391	-0.0002	
5.53	1.406	0.0001	
5.54	1.396	0.0001	
5.55	1.406	0.0001	
5.56	1.401	0.0001	
5.57	1.396	0.0001	
5.58	1.406	0.0001	
5.59	1.401	0.0001	
5.60	1.391	0.0001	
5.61	1.401	0.0001	
5.62	1.401	0.0001	
5.63	1.391	0.0001	
5.64	1.406	0.0001	
5.65	1.396	0.0001	
5.66	1.401	0.0001	
5.67	1.406	0.0001	
5.68	1.391	0.0001	
5.69	1.401	0.0001	
5.70	1.406	0.0001	
5.71	1.391	0.0001	
5.72	1.401	0.0001	
5.73	1.401	0.0001	
5.74	1.396	-0.0002	
5.75	1.406	0.0001	
5.76	1.396	0.0001	
5.77	1.401	0.0001	
5.78	1.406	0.0001	
5.79	1.391	0.0001	
5.80	1.401	0.0001	
5.81	1.396	0.0001	
5.82	1.391	0.0001	
5.83	1.406	0.0001	
5.84	1.401	0.0001	
5.85	1.401	0.0001	
5.86	1.406	0.0001	
5.87	1.396	-0.0002	
5.88	1.406	-0.0002	
5.89	1.406	0.0001	
5.90	1.391	0.0001	
5.91	1.401	0.0001	
5.92	1.396	0.0001	
5.93	1.391	0.0001	
5.94	1.406	0.0001	
5.95	1.396	0.0001	
5.96	1.406	0.0001	
5.97	1.406	0.0001	
5.98	1.396	-0.0002	
5.99	1.406	0.0001	
6.00	1.401	0.0001	
6.01	1.391	-0.0002	
6.02	1.406	0.0001	
6.03	1.396	0.0001	
6.04	1.396	0.0001	
6.05	1.406	0.0001	
6.06	1.396	0.0001	
6.07	1.401	0.0001	
6.08	1.401	0.0001	
6.09	1.391	0.0001	
6.10	1.406	0.0001	
6.11	1.401	0.0001	
6.12	1.391	0.0001	
6.13	1.406	0.0001	
6.14	1.396	0.0001	
6.15	1.401	-0.0002	
6.16	1.406	0.0001	
6.17	1.391	0.0001	
6.18	1.401	0.0001	
6.19	1.401	-0.0002	
6.20	1.391	0.0001	
6.21	1.406	0.0001	
6.22	1.401	0.0001	
6.23	1.391	0.0001	
6.24	1.401	0.0001	
6.25	1.396	-0.0002	
6.26	1.401	-0.0002	
6.27	1.406	0.0001	
6.28	1.391	0.0001	
6.29	1.396	0.0001	
6.30	1.406	0.0001	
6.31	1.391	0.0001	
6.32	1.406	0.0001	
6.33	1.401	0.0001	
6.34	1.396	-0.0002	
6.35	1.406	0.0001	
6.36	1.396	0.0001	
6.37	1.406	0.0001	
6.38	1.406	0.0001	
6.39	1.396	0.0001	
6.40	1.401	0.0001	
6.41	1.396	0.0001	
6.42	1.391	-0.0002	
6.43	1.406	0.0001	
6.44	1.396	-0.0002	
6.45	1.396	0.0001	
6.46	1.406	0.0001	
6.47	1.391	0.0001	
6.48	1.406	0.0001	
6.49	1.406	0.0001	
6.50	1.391	0.0001	
6.51	1.401	0.0001	
6.52	1.396	-0.0002	
6.53	1.396	0.0001	
6.54	1.406	0.0001	
6.55	1.396	0.0001	
6.56	1.401	0.0001	
6.57	1.406	0.0001	
6.58	1.391	0.0001	
6.59	1.406	-0.0002	
6.60	1.401	0.0001	
6.61	1.396	0.0001	
6.62	1.406	-0.0002	
6.63	1.396	0.0001	
6.64	1.396	-0.0002	
6.65	1.406	0.0001	
6.66	1.396	-0.0002	
6.67	1.401	-0.0002	
6.68	1.406	0.0001	
6.69	1.391	0.0001	
6.70	1.401	0.0001	
6.71	1.401	0.0001	
6.72	1.386	0.0001	
6.73	1.406	0.0001	
6.74	1.396	0.0001	
6.75	1.396	0.0001	
6.76	1.406	0.0001	
6.77	1.396	0.0001	
6.78	1.406	0.0001	
6.79	1.401	0.0001	
6.80	1.391	0.0001	
6.81	1.406	0.0001	
6.82	1.396	0.0001	
6.83	1.386	-0.0002	
6.84	1.406	-0.0002	
6.85	1.401	0.0001	
6.86	1.401	-0.0002	
6.87	1.406	0.0001	
6.88	1.396	0.0001	
6.89	1.401	0.0001	
6.90	1.396	0.0001	
6.91	1.391	0.0001	
6.92	1.406	0.0001	
6.93	1.401	-0.0002	
6.94	1.396	-0.0002	
6.95	1.406	0.0001	
6.96	1.396	0.0001	
6.97	1.406	0.0001	
6.98	1.401	0.0001	
6.99	1.391	0.0001	
7.00	1.396	0.0001	
7.01	1.396	0.0001	
7.02	1.391	0.0001	
7.03	1.406	0.0001	
7.04	1.401	-0.0002	
7.05	1.396	0.0001	
7.06	1.406	0.0001	
7.07	1.396	0.0001	
7.08	1.401	0.0001	
7.09	1.406	-0.0002	
7.10	1.396	0.0001	
7.11	1.406	0.0001	
7.12	1.396	0.0001	
7.13	1.391	0.0001	
7.14	1.411	-0.0002	
7.15	1.396	0.0001	
7.16	1.401	0.0001	
7.17	1.401	0.0001	
7.18	1.391	0.0001	
7.19	1.396	0.0001	
7.20	1.401	0.0001	
7.21	1.391	0.0001	
7.22	1.406	0.0001	
7.23	1.396	0.0001	
7.24	1.396	-0.0002	
7.25	1.406	0.0001	
7.26	1.396	-0.0002	
7.27	1.396	0.0001	
7.28	1.401	0.0001	
7.29	1.391	0.0001	
7.30	1.406	0.0001	
7.31	1.396	0.0001	
7.32	1.391	-0.0002	
7.33	1.406	0.0001	
7.34	1.396	0.0001	
7.35	1.401	0.0001	
7.36	1.401	0.0001	
7.37	1.391	0.0001	
7.38	1.401	0.0001	
7.39	1.396	-0.0002	
7.40	1.391	-0.0002	
7.41	1.406	0.0001	
7.42	1.401	0.0001	
7.43	1.396	0.0001	
7.44	1.406	0.0001	
7.45	1.396	0.0001	
7.46	1.401	0.0001	
7.47	1.406	-0.0002	
7.48	1.391	0.0001	
7.49	1.406	-0.0002	
7.50	1.401	0.0001	
7.51	1.396	-0.0002	
7.52	1.406	0.0001	
7.53	1.396	0.0001	
7.54	1.396	0.0001	
7.55	1.406	0.0001	
7.56	1.391	0.0001	
7.57	1.406	0.0001	
7.58	1.396	0.0001	
7.59	1.391	-0.0002	
7.60	1.406	0.0001	
7.61	1.396	0.0001	
7.62	1.406	0.0001	
7.63	1.406	0.0001	
7.64	1.396	0.0001	
7.65	1.401	0.0001	
7.66	1.401	-0.0002	
7.67	1.396	-0.0002	
7.68	1.406	0.0001	
7.69	1.396	-0.0002	
7.70	1.406	0.0001	
7.71	1.406	0.0001	
7.72	1.391	0.0001	
7.73	1.401	0.0001	
7.74	1.401	0.0001	
7.75	1.391	-0.0002	
7.76	1.406	0.0001	
7.77	1.396	0.0001	
7.78	1.396	-0.0002	
7.79	1.406	0.0001	
7.80	1.391	0.0001	
7.81	1.401	0.0001	
7.82	1.396	0.0001	
7.83	1.391	0.0001	
7.84	1.406	-0.0002	
7.85	1.396	0.0001	
7.86	1.396	-0.0002	
7.87	1.406	0.0001	
7.88	1.396	0.0001	
7.89	1.406	0.0001	
7.90	1.401	0.0001	
7.91	1.391	0.0001	
7.92	1.401	0.0001	
7.93	1.401	-0.0002	
7.94	1.391	0.0001	
7.95	1.406	0.0001	
7.96	1.396	0.0001	
7.97	1.401	0.0001	
7.98	1.406	0.0001	
7.99	1.391	-0.0002	
8.00	1.401	-0.0002	
8.01	1.401	0.0001	
8.02	1.391	0.0001	
8.03	1.406	0.0001	
8.04	1.396	0.0001	
8.05	1.396	-0.0002	
8.06	1.406	0.0001	
8.07	1.396	0.0001	
8.08	1.406	0.0001	
8.09	1.401	0.0001	
8.10	1.391	0.0001	
8.11	1.401	0.0001	
8.12	1.401	-0.0002	
8.13	1.396	-0.0002	
8.14	1.406	0.0001	
8.15	1.396	0.0001	
8.16	1.401	0.0001	
8.17	1.406	0.0001	
8.18	1.396	0.0001	
8.19	1.401	0.0001	
8.20	1.401	0.0001	
8.21	1.391	-0.0002	
8.22	1.406	0.0001	
8.23	1.396	0.0001	
8.24	1.396	0.0001	
8.25	1.406	0.0001	
8.26	1.396	0.0001	
8.27	1.401	0.0001	
8.28	1.396	0.0001	
8.29	1.391	0.0001	
8.30	1.406	0.0001	
8.31	1.401	0.0001	
8.32	1.396	-0.0002	
8.33	1.406	0.0001	
8.34	1.396	-0.0002	
8.35	1.401	0.0001	
8.36	1.401	0.0001	
8.37	1.391	0.0001	
8.38	1.406	0.0001	
8.39	1.396	0.0001	
8.40	1.396	0.0001	
8.41	1.406	0.0001	
8.42	1.396	0.0001	
8.43	1.401	0.0001	
8.44	1.401	0.0001	
8.45	1.391	0.0001	
8.46	1.401	0.0001	
